2017-01-06,11991
2017-01-13,13715
2017-01-20,13610
2017-01-27,12877
2017-02-03,12485
2017-02-10,12269
2017-02-17,11644
2017-02-24,11794
2017-03-03,11248
2017-03-10,11077
2017-03-17,10697
2017-03-24,10325
2017-03-31,10027
2017-04-07,9939
2017-04-14,8493
2017-04-21,9644
2017-04-28,10908
2017-05-05,9064
2017-05-12,10693
2017-05-19,10288
2017-05-26,10040
2017-06-02,8332
2017-06-09,9766
2017-06-16,9367
2017-06-23,9627
2017-06-30,9334
2017-07-07,9263
2017-07-14,9376
2017-07-21,9113
2017-07-28,8882
2017-08-04,8941
2017-08-11,9038
2017-08-18,9299
2017-08-25,9382
2017-09-01,8149
2017-09-08,9497
2017-09-15,9454
2017-09-22,9534
2017-09-29,9689
2017-10-06,9778
2017-10-13,9940
2017-10-20,10031
2017-10-27,9739
2017-11-03,9984
2017-11-10,10346
2017-11-17,10275
2017-11-24,10621
2017-12-01,10538
2017-12-08,10781
2017-12-15,11217
2017-12-22,12517
2017-12-29,8487
2018-01-05,12723
2018-01-12,15050
2018-01-19,14256
2018-01-26,13935
2018-02-02,13285
2018-02-09,12495
2018-02-16,12246
2018-02-23,12142
2018-03-02,10854
2018-03-09,12997
2018-03-16,12788
2018-03-23,11913
2018-03-30,9941
2018-04-06,10794
2018-04-13,12301
2018-04-20,11223
2018-04-27,10306
2018-05-04,10153
2018-05-11,8624
2018-05-18,10141
2018-05-25,9636
2018-06-01,8147
2018-06-08,9950
2018-06-15,9343
2018-06-22,9256
2018-06-29,9212
2018-07-06,9258
2018-07-13,9293
2018-07-20,9127
2018-07-27,9141
2018-08-03,9161
2018-08-10,9319
2018-08-17,8830
2018-08-24,8978
2018-08-31,7865
2018-09-07,9445
2018-09-14,9191
2018-09-21,9305
2018-09-28,9150
2018-10-05,9503
2018-10-12,9649
2018-10-19,9864
2018-10-26,9603
2018-11-02,9529
2018-11-09,10151
2018-11-16,10193
2018-11-23,9957
2018-11-30,10033
2018-12-07,10287
2018-12-14,10550
2018-12-21,11116
2018-12-28,7131
2019-01-04,10955
2019-01-11,12609
2019-01-18,11860
2019-01-25,11740
2019-02-01,11297
2019-02-08,11660
2019-02-15,11824
2019-02-22,11295
2019-03-01,11044
2019-03-08,10898
2019-03-15,10567
2019-03-22,10402
2019-03-29,9867
2019-04-05,10126
2019-04-12,10291
2019-04-19,9025
2019-04-26,10059
2019-05-03,11207
2019-05-10,9055
2019-05-17,10272
2019-05-24,10284
2019-05-31,8260
2019-06-07,10140
2019-06-14,9445
2019-06-21,9458
2019-06-28,9511
2019-07-05,9062
2019-07-12,9179
2019-07-19,9080
2019-07-26,9112
2019-08-02,9271
2019-08-09,9122
2019-08-16,9093
2019-08-23,8994
2019-08-30,8242
2019-09-06,9695
2019-09-13,9513
2019-09-20,9440
2019-09-27,9517
2019-10-04,9799
2019-10-11,9973
2019-10-18,10156
2019-10-25,10021
2019-11-01,10164
2019-11-08,10697
2019-11-15,10650
2019-11-22,10882
2019-11-29,10958
2019-12-06,10816
2019-12-13,11188
2019-12-20,11926
2019-12-27,7533
